year;Player;Age;Pos;Tm;College;Yrs;G;MP;PTS;TRB;AST;MP2;PTS3
2022;Paolo Banchero;20;F;ORL;Duke;1;72;2430;1437;497;269;33.8;20
2022;Chet Holmgren;20;C;OKC;Gonzaga;;;;;;;;
2022;Jabari Smith Jr.;18;F;HOU;Auburn;1;79;2451;1010;569;101;31;12.8
2022;Keegan Murray;22;F;SAC;Iowa;1;80;2382;976;371;98;29.8;12.2
2022;Jaden Ivey;21;G;DET;Purdue;1;74;2304;1204;288;387;31.1;16.3
2022;Bennedict Mathurin;20;F;IND;Arizona;1;78;2222;1302;318;116;28.5;16.7
2022;Shaedon Sharpe;19;G;POR;Kentucky;1;80;1779;789;236;94;22.2;9.9
2022;Dyson Daniels;20;G;NOP;;1;59;1042;227;188;134;17.7;3.8
2022;Jeremy Sochan;20;F;SAS;Baylor;1;56;1458;614;295;142;26;11
2022;Johnny Davis;21;G;WAS;Wisconsin;1;28;423;163;65;28;15.1;5.8
2022;Ousmane Dieng;19;F;NYK;;1;39;569;193;105;46;14.6;4.9
2022;Jalen Williams;22;F;OKC;Santa Clara;1;75;2276;1056;337;248;30.3;14.1
2022;Jalen Duren;19;F;CHO;Memphis;1;67;1670;612;595;75;24.9;9.1
2022;Ochai Agbaji;23;F;CLE;Kansas;1;59;1209;467;121;67;20.5;7.9
2022;Mark Williams;21;C;CHO;Duke;1;43;828;387;304;18;19.3;9
2022;AJ Griffin;19;F;ATL;Duke;1;72;1401;639;153;73;19.5;8.9
2022;Tari Eason;21;F;HOU;LSU;1;82;1767;760;496;88;21.5;9.3
2022;Dalen Terry;20;G;CHI;Arizona;1;38;214;85;37;22;5.6;2.2
2022;Jake LaRavia;21;F;MIN;Wake Forest;1;35;414;105;63;21;11.8;3
2022;Malaki Branham;19;G;SAS;Ohio State;1;66;1550;673;181;127;23.5;10.2
